Borough,CouncilDist,Food_Scrap_Drop_Off_Site_Name,Latitude,Location,Longitude,NTAName,Notes,Object ID,Operation_Day_Hours,Open_Months,Hosted_By,Website,boroCD,ct2010,point,Precinct
Brooklyn,36,Imani Community Garden,40.67623,"87-91 Schenectady Ave, Brooklyn, NY 11213",-73.93295,Crown Heights North,"Not accepted: meat, bones, or dairy",73,Wednesdays 8:00AM - 10:00AM; Saturdays 11:00AM - 1:00PM,Year Round,Imani Community Garden,https://www.facebook.com/Imani-Garden-168006109999475/,308,030900,POINT (-73.93295 40.67623),77
Manhattan,1,Bowling Green Greenmarket,40.7046367,"Broadway at Battery Place, New York, NY 10004",-74.0137794,Battery Park City-Lower Manhattan,Accepted: All organics except pet waste,58,Tuesdays 8:00AM - 11:00 AM,Year Round,NYC Compost Project Hosted by Earth Matter NY,,101,001300,POINT (-74.01377939999998 40.70463670000004),1
Queens,26,"New Roots Community Garden, Queens",40.74325,Adjacent to 41-38 69th Street and Woodside Avenue,-73.8962,Woodside,"No meat, fish, or dairy accepted.",21,"Mondays, Thursdays, Saturdays, 10:00am-3:00pm",Year Round,New Roots Community Garden,@newrootsqueens,402,026300,POINT (-73.8962 40.74325),108
Manhattan,3,Hudson River Park's Pier 40 at W. Houston St.,40.7298117,Pier 40 at Houston St. near dog park,-74.0110087,West Village,"Not accepted: meat, bones, or dairy.",105,Every day 7:00AM - 7:00PM,Year Round,Staff at Hudson River Park,https://hudsonriverpark.org/the-park/sustainability/community-compost-program/,102,006900,POINT (-74.01100869999993 40.72981170000003),6
Queens,24,Briarwood CSA,40.7100076,"85-12 Main St, Briarwood, NY 11435",-73.8194271,Briarwood-Jamaica Hills,"Not accepted: meat, bones, or dairy",137,Sundays 8 AM - 10 AM,June13 - November 14,Volunteers at Briarwood CSA,www.briarwoodcsa.org,408,022001,POINT (-73.81942709999998 40.71000760000004),107
Bronx,11,Mediator's Composting Initiative,40.879849,"260 West 231 Street Bronx, NY 10463",-73.906856,Spuyten Duyvil-Kingsbridge,"Donation: 25 cents per pound. Drop off location is by Bx7, Bx10, BX1 bus stop.",84,Saturdays 10:00AM - 12:00PM,Year Round,The Earth Ministry of The Church of The Mediator,https://www.instagram.com/mediator_garden_and_composting/,208,028900,POINT (-73.906856 40.879849),50
Bronx,15,Garden of Happiness,40.848613,"2144F Prospect Ave, The Bronx, NY 10460",-73.884999,East Tremont,"Not accepted: Meat, bones, or dairy. Bin will be placed near the front entrance a mask must be worn when entering the Garden.",90,Monday-Friday 10:00AM - 4:00PM,April - November,Volunteers at Garden of Happiness,http://www.lafamiliaverde.org/,206,037100,POINT (-73.884999 40.848613),48
Brooklyn,39,OPEN FOR THE SEASON: East 4th Street Community Garden,40.6483066,"173 E 4th St, Brooklyn, NY 11218",-73.9772287,Windsor Terrace,,62,"Wednesdays 4:30 PM-6:30 PM, Saturdays 10:00 AM-1:00 PM, Sundays 10:00 AM - 12 PM","Seasonal, April - November 22",Members at East 4th Street Community Garden,https://eastfourthstreetgarden.tumblr.com/,307,050000,POINT (-73.97722869999996 40.64830660000007),72
Manhattan,1,East Broadway & Rutgers Street,40.714243,"East side of Rutgers St b/w East Broadway & Canal St, on the west side of Straus Sq",-73.990163,Lower East Side,"Not accepted: meat, bones, or dairy",41,Fridays 9:00AM - 2:00PM,Year Round,NYC Compost Project Hosted by LES Ecology Center,https://www.lesecologycenter.org/programs/compost/compost-drop-off-locations/,103,000600,POINT (-73.990163 40.714243),7
Brooklyn,41,OPEN FOR THE SEASON: Howard Garden,40.6636288,750 Howard Avenue,-73.9190362,Brownsville,"Not accepted: grains, bread, meat, bones, or dairy",30,Fridays 9:00AM - 10:00AM,April - October,Howard Garden,,316,089200,POINT (-73.91903619999994 40.663628800000026),73
Brooklyn,39,Christ Church Community Compost,40.68596,326 Clinton Street,-73.99701,Carroll Gardens-Columbia Street-Red Hook,"Only accepting fruits, vegetables, coffee, tea, and nuts",69,Sundays from 9:00AM-10:00AM; Wednesdays from 7:00PM-8:00PM,Year Round,Volunteers at Christ Church,www.christchurchcobblehill.net,306,006700,POINT (-73.99701 40.68596),76
Manhattan,1,Governors Island Soissons Ferry Landing,40.69281,Adjacent to Soissons Landing and Taco Vista,-74.0148306,park-cemetery-etc-Manhattan,Accepted: All organics except pet waste,52,When the island is open to the public (Check ferry schedule),May 1 - November 1,NYC Compost Project Hosted by Earth Matter NY,www.earthmatter.org,101,000500,POINT (-74.01483059999998 40.69281),1
